City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,33.46,100,100,19.57,sleet
1,Puerto Ayora,EC,-0.7393,-90.3518,80.56,84,17,8.01,few clouds
2,Chapeco,BR,-27.0964,-52.6183,78.55,47,20,11.5,few clouds
3,Jamestown,US,42.097,-79.2353,84.06,61,75,10.36,broken clouds
4,Port Alfred,ZA,-33.5906,26.891,65.07,64,100,5.7,overcast clouds
5,Hofn,IS,64.2539,-15.2082,53.62,87,75,8.05,broken clouds
6,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,73,0,14.97,clear sky
7,Kaitangata,NZ,-46.2817,169.8464,36.9,92,15,3.85,few clouds
8,Talnakh,RU,69.4865,88.3972,67.21,59,88,5.55,overcast clouds
9,Thompson,CA,55.7435,-97.8558,55.56,88,100,5.75,overcast clouds
10,Moose Factory,CA,51.2585,-80.6094,73.4,88,100,17.27,overcast clouds
11,Khatanga,RU,71.9667,102.5,44.29,88,100,14.23,overcast clouds
12,Albany,US,42.6001,-73.9662,93.16,42,0,1.01,clear sky
13,Rzhev,RU,56.2624,34.3282,62.06,75,0,3.2,clear sky
14,Margate,GB,51.3813,1.3862,67.3,78,71,4.0,broken clouds
15,Jumla,NP,29.2747,82.1838,63.43,97,100,0.89,overcast clouds
16,Rikitea,PF,-23.1203,-134.9692,72.37,75,100,9.62,overcast clouds
17,Zhigansk,RU,66.7697,123.3711,52.36,94,100,8.23,light rain
18,Kanigoro,ID,-8.13,112.219,69.85,93,63,2.8,broken clouds
19,Chokurdakh,RU,70.6333,147.9167,41.7,69,100,13.42,overcast clouds
20,Cherskiy,RU,68.75,161.3,39.96,72,12,4.63,few clouds
21,Punta Arenas,CL,-53.15,-70.9167,41.02,75,0,21.85,clear sky
22,Lebu,CL,-37.6167,-73.65,53.92,96,100,12.15,overcast clouds
23,East London,ZA,-33.0153,27.9116,67.14,52,0,6.91,clear sky
24,Forbes,AU,-33.3833,148.0167,44.92,88,86,4.54,overcast clouds
25,Krasnyy Oktyabr,RU,56.1167,38.8833,62.49,77,0,5.66,clear sky
26,Nikolskoye,RU,59.7035,30.7861,76.89,70,26,5.91,scattered clouds
27,Mogadishu,SO,2.0371,45.3438,75.92,82,17,18.23,few clouds
28,Lavrentiya,RU,65.5833,-171.0,41.41,90,100,12.77,light rain
29,Taoudenni,ML,22.6783,-3.9836,105.62,13,30,3.36,scattered clouds
30,Bambous Virieux,MU,-20.3428,57.7575,70.21,78,40,12.66,light rain
31,Mahebourg,MU,-20.4081,57.7,70.25,78,40,12.66,scattered clouds
32,Qaanaaq,GL,77.484,-69.3632,43.21,77,99,8.9,light rain
33,Sambava,MG,-14.2667,50.1667,69.64,84,51,11.59,light rain
34,Adrar,MR,20.5022,-10.0711,96.31,32,78,1.57,broken clouds
35,Kapaa,US,22.0752,-159.319,80.92,76,40,12.66,scattered clouds
36,Mar Del Plata,AR,-38.0023,-57.5575,51.94,70,0,8.05,clear sky
37,Port Lincoln,AU,-34.7333,135.8667,52.86,68,96,6.53,overcast clouds
38,Paamiut,GL,61.994,-49.6678,45.5,84,6,6.06,clear sky
39,Bluff,NZ,-46.6,168.3333,34.81,84,11,6.87,few clouds
40,Saint-Augustin,CA,51.226,-58.6502,65.48,67,100,17.65,overcast clouds
41,Ancud,CL,-41.8697,-73.8203,40.23,97,100,12.03,moderate rain
42,Kaya,BF,13.0917,-1.0844,77.63,80,93,9.48,heavy intensity rain
43,Hermanus,ZA,-34.4187,19.2345,54.81,74,100,9.44,light rain
44,Hithadhoo,MV,-0.6,73.0833,81.52,74,100,7.47,overcast clouds
45,New Norfolk,AU,-42.7826,147.0587,50.92,84,100,2.06,overcast clouds
46,Tura,IN,25.5198,90.2201,75.74,92,100,2.44,overcast clouds
47,Lata,PT,40.1629,-8.3327,75.31,48,12,5.86,few clouds
48,Cape Town,ZA,-33.9258,18.4232,58.26,84,40,8.05,scattered clouds
49,Bredasdorp,ZA,-34.5322,20.0403,55.15,61,100,8.86,overcast clouds
50,Georgetown,MY,5.4112,100.3354,78.73,98,40,2.3,scattered clouds
51,Slyudyanka,RU,51.6594,103.7061,55.06,94,100,4.9,overcast clouds
52,Aklavik,CA,68.2191,-135.0107,68.0,68,40,2.3,scattered clouds
53,Airai,TL,-8.9266,125.4092,51.75,79,99,2.37,overcast clouds
54,Busselton,AU,-33.65,115.3333,58.82,78,14,15.73,few clouds
55,Castro,BR,-24.7911,-50.0119,72.7,49,78,5.37,broken clouds
56,Hohhot,CN,40.8106,111.6522,57.49,88,0,2.24,clear sky
57,Susanville,US,40.4163,-120.653,85.08,15,0,5.75,clear sky
58,Faya,SA,18.3851,42.4509,69.91,46,75,3.56,broken clouds
59,Tasiilaq,GL,65.6145,-37.6368,41.58,72,38,7.81,scattered clouds
60,Sur,OM,22.5667,59.5289,88.02,66,100,11.23,overcast clouds
61,Tulun,RU,54.5611,100.5792,57.99,84,100,2.42,overcast clouds
62,Constitucion,CL,-35.3333,-72.4167,59.99,76,16,8.97,few clouds
63,Ahipara,NZ,-35.1667,173.1667,47.37,86,99,6.91,overcast clouds
64,Bud,US,39.447,-86.1758,93.4,46,7,5.17,clear sky
65,Kollam,IN,8.8833,76.6,77.16,89,100,9.35,moderate rain
66,Touros,BR,-5.1989,-35.4608,78.6,78,100,16.35,overcast clouds
67,Fortuna,US,40.5982,-124.1573,62.92,78,11,1.99,few clouds
68,Bethel,US,41.3712,-73.414,94.17,42,0,6.91,clear sky
69,Saldanha,ZA,-33.0117,17.9442,57.25,88,100,3.83,overcast clouds
70,Iskateley,RU,67.6803,53.1512,49.59,66,100,8.63,overcast clouds
71,Tiksi,RU,71.6872,128.8694,47.41,77,64,5.68,broken clouds
72,Yellowknife,CA,62.456,-114.3525,66.72,55,75,9.22,broken clouds
73,Itoman,JP,26.1247,127.6694,84.97,87,75,12.66,broken clouds
74,Anadyr,RU,64.75,177.4833,46.9,87,75,2.24,light rain
75,Evensk,RU,61.95,159.2333,57.58,50,4,4.72,clear sky
76,Barrow,US,71.2906,-156.7887,39.22,87,100,10.36,mist
77,Luderitz,NA,-26.6481,15.1594,59.85,69,66,15.03,broken clouds
78,Vaini,TO,-21.2,-175.2,71.76,88,20,8.05,few clouds
79,Bengkulu,ID,-3.8004,102.2655,75.63,88,99,3.51,overcast clouds
80,Noormarkku,FI,61.5927,21.8685,73.18,78,40,6.91,light intensity shower rain
81,Mataura,NZ,-46.1927,168.8643,33.48,98,15,2.95,few clouds
82,Larap,PH,14.299,122.6504,80.02,88,80,4.5,broken clouds
83,Strelka,RU,58.0728,93.0344,55.27,98,28,3.6,scattered clouds
84,Carnarvon,AU,-24.8667,113.6333,63.07,65,0,12.73,clear sky
85,Leeton,AU,-34.5667,146.4,46.89,87,87,8.03,overcast clouds
86,Sitka,US,57.0531,-135.33,55.53,85,100,5.1,light rain
87,Leningradskiy,RU,69.3833,178.4167,33.6,92,100,8.61,overcast clouds
88,Kruisfontein,ZA,-34.0033,24.7314,50.88,74,100,5.91,overcast clouds
89,Avarua,CK,-21.2078,-159.775,77.05,78,20,9.22,few clouds
90,Hilo,US,19.7297,-155.09,82.27,94,100,9.22,overcast clouds
91,Verkhnevilyuysk,RU,63.4453,120.3167,61.29,89,100,4.76,overcast clouds
92,Nemuro,JP,43.3236,145.575,59.09,95,100,11.54,light rain
93,Kodiak,US,57.79,-152.4072,54.91,50,0,8.05,clear sky
94,Chapais,CA,49.7834,-74.8492,74.98,44,74,10.71,broken clouds
95,Sao Filipe,CV,14.8961,-24.4956,76.14,77,96,4.65,overcast clouds
96,Morondava,MG,-20.2833,44.2833,72.32,74,0,13.35,clear sky
97,Atuona,PF,-9.8,-139.0333,77.22,76,1,14.74,clear sky
98,Sirjan,IR,29.452,55.6814,79.48,38,10,12.66,clear sky
99,Aguimes,ES,27.9054,-15.4461,74.03,73,20,33.38,few clouds
100,Tuktoyaktuk,CA,69.4541,-133.0374,68.0,68,75,11.5,broken clouds
101,Arlit,NE,18.7369,7.3853,103.42,12,46,6.38,scattered clouds
102,Saint-Philippe,RE,-21.3585,55.7679,67.59,83,45,13.13,light rain
103,Saint John,CA,45.2727,-66.0677,78.03,78,20,12.66,few clouds
104,Deloraine,AU,-41.5333,146.6667,50.36,15,100,1.88,overcast clouds
105,Husavik,IS,66.0449,-17.3389,51.46,81,51,4.85,broken clouds
106,Butaritari,KI,3.0707,172.7902,80.98,78,13,8.97,light rain
107,Inuvik,CA,68.3499,-133.7218,74.41,46,75,6.91,broken clouds
108,Alice Springs,AU,-23.7,133.8833,44.15,53,0,0.0,clear sky
109,Ekhabi,RU,53.5102,142.9671,51.93,91,98,8.34,overcast clouds
110,Grindavik,IS,63.8424,-22.4338,55.87,82,75,6.91,broken clouds
111,Loreto,MX,22.2667,-101.9667,78.98,25,87,2.17,overcast clouds
112,Panaba,MX,21.2833,-88.2667,101.23,30,58,8.3,broken clouds
113,College,US,64.8569,-147.8028,54.46,82,100,4.61,overcast clouds
114,Tual,ID,-5.6667,132.75,77.58,74,100,14.09,overcast clouds
115,Mikhaylovskoye,RU,51.8239,79.7172,64.24,67,6,4.7,clear sky
116,Barra Da Estiva,BR,-13.6261,-41.3269,72.07,46,6,7.18,clear sky
117,Yar-Sale,RU,66.8333,70.8333,44.74,95,100,16.06,overcast clouds
118,Basmat,IN,19.3167,77.1667,74.57,92,100,10.13,moderate rain
119,Lorengau,PG,-2.0226,147.2712,81.43,80,33,8.01,scattered clouds
120,Presidente Medici,BR,-11.1753,-61.9014,97.23,24,0,4.29,clear sky
121,Aquiraz,BR,-3.9014,-38.3911,85.44,73,80,9.22,broken clouds
122,Floro,NO,61.5996,5.0328,66.27,63,20,16.11,few clouds
123,Mount Gambier,AU,-37.8333,140.7667,51.08,97,100,10.18,light rain
124,Ngunguru,NZ,-35.6167,174.5,55.26,68,100,11.48,overcast clouds
125,Najran,SA,17.4924,44.1277,93.85,21,100,5.57,overcast clouds
126,Almaznyy,RU,48.0448,40.045,60.57,82,93,3.87,light rain
127,Doha,QA,25.2867,51.5333,98.91,75,0,8.05,clear sky
128,Tutoia,BR,-2.7619,-42.2744,82.29,68,36,9.95,scattered clouds
129,Kalmunai,LK,7.4167,81.8167,79.07,87,100,2.68,overcast clouds
130,San Andres,CO,12.5847,-81.7006,84.22,84,75,9.22,broken clouds
131,Saint-Francois,FR,46.4154,3.9054,81.84,44,0,1.14,clear sky
132,Ciechocinek,PL,52.8791,18.7951,77.56,68,0,5.91,clear sky
133,Kapit,MY,2.0167,112.9333,73.33,100,99,1.36,overcast clouds
134,Havoysund,NO,70.9963,24.6622,53.83,93,77,20.13,broken clouds
135,Dikson,RU,73.5069,80.5464,53.02,72,100,12.84,overcast clouds
136,La Palma,US,33.8464,-118.0467,91.74,64,40,6.91,scattered clouds
137,Kavaratti,IN,10.5669,72.642,81.28,81,100,18.79,overcast clouds
138,Carcaliu,RO,45.1833,28.15,79.39,30,1,5.84,clear sky
139,Tautira,PF,-17.7333,-149.15,75.4,80,24,9.24,light rain
140,Rocha,UY,-34.4833,-54.3333,63.28,75,42,3.89,scattered clouds
141,Severo-Kurilsk,RU,50.6789,156.125,54.37,93,21,3.27,few clouds
142,Hinatuan,PH,8.3722,126.3342,76.14,92,100,3.09,overcast clouds
143,Sistranda,NO,63.7256,8.834,55.36,84,20,12.21,few clouds
144,Ust-Ishim,RU,57.6935,71.1665,53.96,87,95,3.85,overcast clouds
145,Oksfjord,NO,70.2396,22.3479,55.47,85,99,7.87,light rain
146,Xining,CN,36.6167,101.7667,52.07,67,0,1.95,clear sky
147,Samarai,PG,-10.6167,150.6667,79.92,80,31,5.97,scattered clouds
148,Kabelvag,NO,68.2114,14.4817,53.53,87,75,25.32,broken clouds
149,Marsh Harbour,BS,26.5412,-77.0636,84.15,71,0,15.73,clear sky
150,Faanui,PF,-16.4833,-151.75,77.9,74,16,10.0,light rain
151,Kenai,US,60.5544,-151.2583,55.15,77,100,12.66,overcast clouds
152,Ribeira Grande,PT,38.5167,-28.7,77.4,83,40,10.36,scattered clouds
153,Gustrow,DE,53.7972,12.1734,66.52,59,75,10.36,broken clouds
154,Port Hedland,AU,-20.3167,118.5667,66.25,100,0,4.61,clear sky
155,Norman Wells,CA,65.282,-126.8329,68.04,68,75,6.91,broken clouds
156,Boa Vista,BR,2.8197,-60.6733,84.18,65,40,5.75,scattered clouds
157,Khandyga,RU,62.6667,135.6,63.86,95,100,0.34,overcast clouds
158,Cam Ranh,VN,11.9214,109.1591,78.76,78,20,4.61,few clouds
159,Nanortalik,GL,60.1432,-45.2371,49.01,79,17,4.05,few clouds
160,Ayan,RU,56.45,138.1667,57.72,91,63,6.46,broken clouds
161,Geraldton,AU,-28.7667,114.6,52.21,82,75,13.8,broken clouds
162,Manado,ID,1.487,124.8455,77.77,88,40,2.3,scattered clouds
163,Verkhoyansk,RU,67.5447,133.385,62.94,88,100,1.34,light rain
164,Karratha,AU,-20.7377,116.8463,69.6,66,0,10.38,clear sky
165,Beira,MZ,-19.8436,34.8389,71.69,88,40,5.99,scattered clouds
166,Hobyo,SO,5.3505,48.5268,76.3,81,11,22.95,few clouds
167,Yumen,CN,40.2833,97.2,76.39,15,0,11.07,clear sky
168,Mastic Beach,US,40.7668,-72.8521,95.16,56,2,1.01,clear sky
169,Namatanai,PG,-3.6667,152.4333,78.12,80,8,6.78,clear sky
170,Panzhihua,CN,26.5851,101.7128,71.01,96,100,2.37,overcast clouds
171,Hobart,AU,-42.8794,147.3294,50.25,83,100,8.05,overcast clouds
172,Shingu,JP,33.7333,135.9833,72.91,85,0,4.94,clear sky
173,Kigoma,TZ,-4.8769,29.6267,74.59,63,3,5.3,clear sky
174,Flinders,AU,-34.5833,150.8552,51.19,92,83,5.99,broken clouds
175,Port-Gentil,GA,-0.7193,8.7815,75.16,83,20,10.36,few clouds
176,Lompoc,US,34.6391,-120.4579,78.94,87,40,9.22,scattered clouds
177,Esperance,AU,-33.8667,121.9,54.28,73,100,16.17,overcast clouds
178,Alofi,NU,-19.0595,-169.9187,64.29,100,100,1.14,overcast clouds
179,Lima,PE,-12.0432,-77.0282,70.9,64,100,4.61,overcast clouds
180,Kamenka,RU,51.3223,42.7678,58.87,86,96,4.92,overcast clouds
181,Klaksvik,FO,62.2266,-6.589,52.72,82,100,7.05,overcast clouds
182,Madarounfa,NE,13.3087,7.156,89.58,47,100,7.16,overcast clouds
183,Ulladulla,AU,-35.35,150.4667,51.12,90,84,5.91,broken clouds
184,Richards Bay,ZA,-28.783,32.0377,67.44,81,0,11.23,clear sky
185,Mabaruma,GY,8.2,-59.7833,87.8,70,75,11.5,broken clouds
186,Havelock,US,34.8791,-76.9013,91.35,83,100,7.0,overcast clouds
187,Seoul,KR,37.5683,126.9778,74.64,97,20,2.3,mist
188,Kenora,CA,49.8167,-94.4337,76.17,41,75,15.01,broken clouds
189,Acajutla,SV,13.5928,-89.8275,83.95,75,100,5.19,overcast clouds
190,Mae Sai,TH,20.4335,99.8762,72.23,99,100,0.69,light rain
191,Yangzhou,CN,32.3972,119.4358,78.37,93,100,6.42,overcast clouds
192,Guerrero Negro,MX,27.9769,-114.0611,75.78,59,40,19.55,scattered clouds
193,Goderich,CA,43.7501,-81.7165,77.32,65,0,10.36,clear sky
194,Tianpeng,CN,30.9866,103.9393,68.47,94,0,3.85,clear sky
195,Kazerun,IR,29.6195,51.6541,88.23,43,4,1.88,clear sky
196,Narsaq,GL,60.9167,-46.05,55.45,60,32,4.65,scattered clouds
197,Nara,JP,34.6851,135.8049,76.5,65,89,2.55,overcast clouds
198,Gambela,ET,8.25,34.5833,71.53,93,97,4.81,moderate rain
199,Santiago De Cao,PE,-7.9589,-79.2392,64.53,72,100,13.8,fog
200,Calamar,CO,10.2511,-74.9146,87.78,64,100,7.43,overcast clouds
201,Kloulklubed,PW,7.0419,134.2556,82.15,77,59,7.81,broken clouds
202,Kilindoni,TZ,-7.9139,39.6668,75.45,76,0,14.97,clear sky
203,Dondo,MZ,-19.6094,34.7431,71.11,85,0,6.67,clear sky
204,Emerald,AU,-23.5333,148.1667,52.34,88,0,10.63,clear sky
205,Westerland,DE,54.9079,8.3033,59.02,72,75,14.97,broken clouds
206,Dalvik,IS,65.9702,-18.5286,51.73,79,59,3.85,broken clouds
207,Swan Hill,AU,-35.3378,143.5544,52.03,77,100,8.46,moderate rain
208,Noumea,NC,-22.2763,166.4572,80.58,99,77,7.4,broken clouds
209,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,79.93,37,42,11.01,scattered clouds
210,Bathsheba,BB,13.2167,-59.5167,86.61,76,40,19.57,scattered clouds
211,Pacific Grove,US,36.6177,-121.9166,77.38,89,28,13.0,scattered clouds
212,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,70,98,1.61,overcast clouds
213,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,75,0,13.91,clear sky
214,Bemidji,US,47.4736,-94.8803,85.05,43,40,20.71,scattered clouds
215,Bafq,IR,31.6128,55.4107,93.92,10,0,3.71,clear sky
216,Qadirpur Ran,PK,30.2924,71.6712,80.49,76,100,5.91,overcast clouds
217,Meadow Lake,US,34.8014,-106.5436,96.84,23,18,9.44,few clouds
218,Tezpur,IN,26.6333,92.8,79.75,85,100,3.47,overcast clouds
219,Kidderminster,GB,52.3882,-2.25,67.23,91,62,5.99,broken clouds
220,Chuy,UY,-33.6971,-53.4616,58.42,89,100,4.79,overcast clouds
221,Provideniya,RU,64.3833,-173.3,46.06,68,26,9.6,scattered clouds
